dw_notes	demographics	loan	credit	LC_calcs	outcomes	LoanStatNew	description
			1			acc_now_delinq	The number of accounts on which the borrower is now delinquent.
	1					addr_state	The state provided by the borrower in the loan application
			1			all_util	Balance to credit limit on all trades
	1					annual_inc	The self-reported annual income provided by the borrower during registration.
	1					annual_inc_joint	The combined self-reported annual income provided by the co-borrowers during registration
	1					application_type	Indicates whether the loan is an individual application or a joint application with two co-borrowers
					1	collection_recovery_fee	post charge off collection fee
			1			collections_12_mths_ex_med	Number of collections in 12 months excluding medical collections
			1			delinq_2yrs	The number of 30+ days past-due incidences of delinquency in the borrower's credit file for the past 2 years
		1				desc	Loan description provided by the borrower
			1			dti	"A ratio calculated using the borrower’s total monthly debt payments on the total debt obligations, excluding mortgage and the requested LC loan, divided by the borrower’s self-reported monthly income."
			1			dti_joint	"A ratio calculated using the co-borrowers' total monthly payments on the total debt obligations, excluding mortgages and the requested LC loan, divided by the co-borrowers' combined self-reported monthly income"
			1			earliest_cr_line	The month the borrower's earliest reported credit line was opened
	1					emp_length	Employment length in years. Possible values are between 0 and 10 where 0 means less than one year and 10 means ten or more years. 
	1					emp_title	The job title supplied by the Borrower when applying for the loan.*
related to last_fico			1			fico_range_high	The upper boundary range the borrower’s FICO at loan origination belongs to.
			1			fico_range_low	The lower boundary range the borrower’s FICO at loan origination belongs to.
					1	funded_amnt	The total amount committed to that loan at that point in time.
					1	funded_amnt_inv	The total amount committed by investors for that loan at that point in time.
				1		grade	LC assigned loan grade
			1			home_ownership	"The home ownership status provided by the borrower during registration. Our values are: RENT, OWN, MORTGAGE, OTHER."
		1				id	A unique LC assigned ID for the loan listing.
			1			il_util	Ratio of total current balance to high credit/credit limit on all install acct
				1		initial_list_status	"The initial listing status of the loan. Possible values are – W, F"
			1			inq_fi	Number of personal finance inquiries
			1			inq_last_12m	Number of credit inquiries in past 12 months
			1			inq_last_6mths	The number of inquiries in past 6 months (excluding auto and mortgage inquiries)
		1				installment	The monthly payment owed by the borrower if the loan originates.
				1		int_rate	Interest Rate on the loan
				1		is_inc_v	"Indicates if income was verified by LC, not verified, or if the income source was verified"
					1	issue_d	The month which the loan was funded
before or after origination?			1			last_credit_pull_d	The most recent month LC pulled credit for this loan
before or after origination?			1			last_fico_range_high	The upper boundary range the borrower’s last FICO pulled belongs to.
before or after origination?			1			last_fico_range_low	The lower boundary range the borrower’s last FICO pulled belongs to.
					1	last_pymnt_amnt	Last total payment amount received
					1	last_pymnt_d	Last month payment was received
		1				loan_amnt	"The listed amount of the loan applied for by the borrower. If at some point in time, the credit department reduces the loan amount, then it will be reflected in this value."
					1	loan_status	Current status of the loan
			1			max_bal_bc	Maximum current balance owed on all revolving accounts
	1					member_id	A unique LC assigned Id for the borrower member.
before or after origination?			1			mths_since_last_delinq	The number of months since the borrower's last delinquency.
before or after origination?			1			mths_since_last_major_derog	Months since most recent 90-day or worse rating
before or after origination?			1			mths_since_last_record	The number of months since the last public record.
			1			mths_since_rcnt_il	Months since most recent installment accounts opened
					1	next_pymnt_d	Next scheduled payment date
			1			open_acc	The number of open credit lines in the borrower's credit file.
"trade line = borrow account, split into installment and revolving"			1			open_acc_6m	Number of open trades in last 6 months
			1			open_il_12m	Number of installment accounts opened in past 12 months
			1			open_il_24m	Number of installment accounts opened in past 24 months
			1			open_il_6m	Number of currently active installment trades
			1			open_rv_12m	Number of revolving trades opened in past 12 months
			1			open_rv_24m	Number of revolving trades opened in past 24 months
					1	out_prncp	Remaining outstanding principal for total amount funded
					1	out_prncp_inv	Remaining outstanding principal for portion of total amount funded by investors
Testing out loans rated lower than prev				1		policy_code	"publicly available policy_code=1, new products not publicly available policy_code=2"
			1			pub_rec	Number of derogatory public records
		1				purpose	A category provided by the borrower for the loan request. 
					1	pymnt_plan	Indicates if a payment plan has been put in place for the loan
					1	recoveries	post charge off gross recovery
			1			revol_bal	Total credit revolving balance
			1			revol_util	"Revolving line utilization rate, or the amount of credit the borrower is using relative to all available revolving credit."
				1		sub_grade	LC assigned loan subgrade
		1				term	The number of payments on the loan. Values are in months and can be either 36 or 60.
		1				title	The loan title provided by the borrower
			1			tot_coll_amt	Total collection amounts ever owed
			1			tot_cur_bal	Total current balance of all accounts
			1			total_acc	The total number of credit lines currently in the borrower's credit file
			1			total_bal_il	Total current balance of all installment accounts
			1			total_cu_tl	Number of finance trades
how are these related to each other?					1	total_pymnt	Payments received to date for total amount funded
how are these related to each other?					1	total_pymnt_inv	Payments received to date for portion of total amount funded by investors
how are these related to each other?					1	total_rec_int	Interest received to date
how are these related to each other?					1	total_rec_late_fee	Late fees received to date
how are these related to each other?					1	total_rec_prncp	Principal received to date
			1			total_rev_hi_lim	Total revolving high credit/credit limit
		1				url	URL for the LC page with listing data.
				1		verified_status_joint	"Indicates if the co-borrowers' joint income was verified by LC, not verified, or if the income source was verified"
	1					zip_code	The first 3 numbers of the zip code provided by the borrower in the loan application.
